distracteur;cible;cercle choisi;resultat;temps de reponse;temps ecoule
Circle 8;Circle 11;Cercle 11;Cible;0.9078527935566822;0.9090093054282622
Circle 1;Circle 6;Cercle 6;Cible;0.6753807791747454;1.5881779789308892
Circle 1;Circle 5;Cercle 5;Cible;0.7126119281132897;2.3666630837636236
Circle 14;Circle 8;Cercle 8;Cible;0.6261451272655365;3.0306371030669923
Circle 5;Circle 11;Cercle 11;Cible;0.706176241086161;3.7506890250756717
Circle 1;Circle 8;Cercle 8;Cible;0.5367437647230653;4.387882758660301
Circle 8;Circle 13;Cercle 13;Cible;0.6509213120645647;5.068355636221017
# ***** 30 sec line *****
Circle 9;Circle 14;Cercle 14;Cible;5.461786287765097;10.5610887703887
Circle 8;Circle 5;Cercle 5;Cible;0.9298593396025936;11.546326936347128
Circle 10;Circle 4;Cercle 4;Cible;1.2950077579423525;12.844138794552784
Circle 5;Circle 7;Cercle 7;Cible;2.9064829485268113;15.759265428295032
Circle 11;Circle 0;Coords(690,230);A cote;0.640405218129052;16.466820950300757
Circle 10;Circle 8;Cercle 8;Cible;0.5661115354982265;17.036223560021693
Circle 0;Circle 13;Cercle 13;Cible;0.6866107186783843;17.763642450344655
Circle 6;Circle 0;Cercle 0;Cible;0.677865289956685;18.50414768890446
Circle 7;Circle 4;Cercle 4;Cible;0.6339313772870767;19.1458571110916
Circle 11;Circle 14;Cercle 14;Cible;0.8495816618817145;20.000501743178056
Circle 1;Circle 7;Cercle 7;Cible;0.7014349116431475;20.7316556047954
Circle 11;Circle 5;Cercle 5;Cible;0.704103217146077;21.464417259965323
Circle 14;Circle 2;Cercle 2;Cible;0.6156167256478149;22.1264195885788
Circle 10;Circle 11;Cercle 11;Cible;0.747276104799095;22.884550248574154
Circle 14;Circle 5;Cercle 5;Cible;0.7912744276722634;23.682545491244724
Circle 9;Circle 7;Coords(658,542);A cote;0.9894174445805568;24.681689697075118
Circle 11;Circle 6;Cercle 6;Cible;0.6740499084718721;25.358125244615184
Circle 6;Circle 8;Cercle 8;Cible;0.502269126343279;25.913671865705133
Circle 5;Circle 7;Cercle 7;Cible;0.6234161038637076;26.541049812471947
