distracteur;cible;cercle choisi;resultat;temps de reponse;temps ecoule
Circle 7;Circle 6;Cercle 6;Cible;0.6185980565349212;0.6190177484982371
Circle 5;Circle 6;Cercle 6;Cible;0.5269882855480716;1.1499469538896676
Circle 8;Circle 5;Cercle 5;Cible;0.6752043690630956;1.8293285502945196
Circle 6;Circle 8;Cercle 8;Cible;0.4579052653085114;2.3004617021852596
Circle 4;Circle 3;Cercle 3;Cible;0.5658924587549166;2.9286979046581223
Circle 2;Circle 14;Cercle 14;Cible;0.6464655208488068;3.614274778030932
Circle 6;Circle 12;Cercle 12;Cible;0.4685719232230383;4.0945275121825375
Circle 8;Circle 5;Cercle 5;Cible;0.5749176821188371;4.739790162223443
Circle 4;Circle 5;Cercle 5;Cible;0.6473106483605022;5.392784087972018
Circle 5;Circle 10;Cercle 10;Cible;0.5223622380617599;5.9297301089393954
Circle 11;Circle 1;Cercle 1;Cible;0.5645821008557164;6.501197127222866
Circle 5;Circle 12;Cercle 12;Cible;0.48460103827605394;7.029014950551812
Circle 3;Circle 12;Cercle 12;Cible;0.4768619677030017;7.509926966213754
Circle 1;Circle 3;Cercle 3;Cible;0.7058939849075045;8.219897255468908
Circle 10;Circle 14;Cercle 7;Cercle gris;0.5225115712725596;8.747321232967181
Circle 2;Circle 12;Cercle 2;Distracteur;0.631548199755315;9.381076200142587
Circle 12;Circle 10;Cercle 10;Cible;0.5437037590123168;9.927641905524581
# ***** 30 sec line *****
Circle 3;Circle 0;Cercle 9;Cercle gris;0.49777600182483184;10.429406006641216
Circle 6;Circle 4;Cercle 6;Distracteur;0.6065061690205766;11.040618223082475
Circle 2;Circle 0;Coords(1009,610);A cote;0.4874584718289441;11.529694334609758
Circle 2;Circle 6;Cercle 9;Cercle gris;0.40827289577606507;11.939979126170954
Circle 10;Circle 5;Cercle 11;Cercle gris;0.2385031889204754;12.179775442235524
Circle 7;Circle 4;Cercle 7;Distracteur;0.6586977159403489;12.83972484945653
Circle 1;Circle 2;Cercle 8;Cercle gris;0.5670538936993523;13.408105921554096
Circle 9;Circle 4;Cercle 14;Cercle gris;0.4385805632159645;13.84831315010203
Circle 12;Circle 0;Cercle 12;Distracteur;0.9259939068768119;14.777207567419424
Circle 11;Circle 4;Coords(599,622);A cote;0.49063344358279437;15.271238751804077
Circle 8;Circle 13;Cercle 9;Cercle gris;0.45187942409893367;15.724735815601377
Circle 0;Circle 3;Cercle 3;Cible;0.5856549040780124;16.311677692982386
Circle 0;Circle 12;Cercle 12;Cible;0.5509209838596973;16.872716412130103
Circle 8;Circle 5;Cercle 5;Cible;0.8008063172871118;17.67744682876156
Circle 7;Circle 13;Cercle 13;Cible;0.6651785311355525;18.34673448473066
Circle 4;Circle 14;Cercle 14;Cible;0.6960859929550907;19.049391138961113
Circle 0;Circle 7;Cercle 7;Cible;0.6809126720716563;19.78948201888653
Circle 2;Circle 8;Cercle 8;Cible;0.48436883333840797;20.336318903533197
